product_slug,product_name,image_count_ok,total_images,bad_images,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_11,image_12
tuxedo-vested-tuxedo-with-trim-modern-sophistication-kct,Ivory White Black Tuxedo Vested Tuxedo With Trim Modern Sophistication Kct,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/tuxedo-vested_ivory-white-tuxedo-with-black-trim-modern-sophistication-kct_1.0.jpg,,,,,,,,,,,
tuxedo-vested-tuxedo-jacket-kct-menswears-elegant-forest,Hunter Green Tuxedo Vested Tuxedo Jacket Kct Menswears Elegant Forest,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/tuxedo-vested_hunter-green-tuxedo-jacket-kct-menswears-elegant-forest_1.0.webp,,,,,,,,,,,
tuxedos-classic-prom-packages,Tuxedos Classic Prom Packages,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/tuxedos_classic-prom-packages_1.0.jpg,,,,,,,,,,,
tuxedo-vested-vivid-tuxedo-by-kct-menswear-dare-to-stand-out,Purple Tuxedo Vested Vivid Tuxedo BY Kct Menswear Dare TO Stand Out,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/tuxedo-vested_vivid-purple-tuxedo-by-kct-menswear-dare-to-stand-out_1.0.jpg,,,,,,,,,,,
tuxedos-combo,Tuxedos Combo,5,5,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/tuxedos_new-combo-6_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/tuxedos_new-combo-3_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_4/tuxedos_new-combo-1_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/tuxedos_new-combo-4_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/tuxedos_new-combo-5_1.0.jpg,,,,,,,
tuxedos-mens-double-breasted-tuxedo-modern-fit-piece-suit,Navy Blue Tuxedos Mens Double Breasted Tuxedo Modern Fit Piece Suit,2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/tuxedos_mens-black-double-breasted-tuxedo-modern-fit-2-piece-suit_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/tuxedos_mens-navy-blue-double-breasted-tuxedo-modern-fit-2-piece-suit_1.0.jpg,,,,,,,,,,
tuxedos-mens-tuxedo-slim-fit-satin-lapel-suit,Royal Purple Tuxedos Mens Tuxedo Slim Fit Satin Lapel Suit,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/tuxedos_mens-royal-purple-tuxedo-slim-fit-satin-lapel-suit_1.0.jpg,,,,,,,,,,,
tuxedos-men-s-light-sequin-lapel-three-piece-prom-tuxedo-a-statement-in-sophistication,Blue Tuxedos Men S Light Sequin Lapel Three Piece Prom Tuxedo A Statement IN Sophistication,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/tuxedos_men-s-light-blue-sequin-lapel-three-piece-prom-tuxedo-a-statement-in-sophistication_1.0.jpg,,,,,,,,,,,
tuxedos-prom-packages,Red Tuxedos Prom Packages,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_4/tuxedos_red-prom-packages_1.0.jpg,,,,,,,,,,,
tuxedos-sequin-lapel-three-piece-prom-tuxedo-a-statement-in-elegance,Purple Royal Tuxedos Sequin Lapel Three Piece Prom Tuxedo A Statement IN Elegance,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/tuxedos_purple-sequin-lapel-three-piece-prom-tuxedo-a-royal-statement-in-elegance_1.0.jpg,,,,,,,,,,,
vest-sparkle-vest-and-bowtie,Vest Sparkle Vest And Bowtie,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/vest_sparkle-vest-and-bowtie_1.0.jpg,,,,,,,,,,,
wedding-swatch-aqua-wedding-color,Wedding Swatch Aqua Wedding Color,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/wedding-swatch_aqua-wedding-color_1.0.png,,,,,,,,,,,
wedding-swatches-wedding-color,Purple Wedding Swatches Wedding Color,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/wedding-swatches_purple-wedding-color_1.0.png,,,,,,,,,,,
