folder,product_stem,main_image_url,gallery_urls,total_images,has_model,has_non_model_counterpart
sparkle-blazer,mens_burgundy_sparkle_texture_sparkle_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_burgundy_sparkle_texture_sparkle_blazer_2025_1041.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_burgundy_sparkle_texture_sparkle_blazer_2025_1041.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_burgundy_sparkle_texture_sparkle_blazer_2025_1042.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_burgundy_sparkle_texture_sparkle_blazer_2025_1043.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_burgundy_sparkle_texture_sparkle_blazer_2025_1044.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_burgundy_sparkle_texture_sparkle_blazer_2025_1052.webp,5,no,yes
sparkle-blazer,mens_gold_baroque_pattern_sparkle_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_gold_baroque_pattern_sparkle_blazer_2025_1048.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_gold_baroque_pattern_sparkle_blazer_2025_1048.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_gold_baroque_pattern_sparkle_blazer_2025_1050.webp,2,no,yes
sparkle-blazer,mens_gold_glitter_finish_sparkle_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_gold_glitter_finish_sparkle_blazer_2025_1037.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_gold_glitter_finish_sparkle_blazer_2025_1037.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_gold_glitter_finish_sparkle_blazer_2025_1039.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_gold_glitter_finish_sparkle_blazer_2025_1040.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_gold_glitter_finish_sparkle_blazer_2025_1049.webp,4,no,yes
sparkle-blazer,mens_gold_sparkle_texture_sparkle_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_gold_sparkle_texture_sparkle_blazer_2025_1031.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_gold_sparkle_texture_sparkle_blazer_2025_1031.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_gold_sparkle_texture_sparkle_blazer_2025_1032.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_gold_sparkle_texture_sparkle_blazer_2025_1033.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_gold_sparkle_texture_sparkle_blazer_2025_1034.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_gold_sparkle_texture_sparkle_blazer_2025_1035.webp,5,no,yes
sparkle-blazer,mens_green_glitter_finish_sparkle_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_green_glitter_finish_sparkle_blazer_2025_1033.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_green_glitter_finish_sparkle_blazer_2025_1033.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_green_glitter_finish_sparkle_blazer_2025_1034.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_green_glitter_finish_sparkle_blazer_2025_1035.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_green_glitter_finish_sparkle_blazer_2025_1036.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_green_glitter_finish_sparkle_blazer_2025_1037.webp,5,no,yes
sparkle-blazer,mens_green_sparkle_texture_sparkle_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_green_sparkle_texture_sparkle_blazer_2025_1029.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_green_sparkle_texture_sparkle_blazer_2025_1029.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_green_sparkle_texture_sparkle_blazer_2025_1030.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_green_sparkle_texture_sparkle_blazer_2025_1031.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_green_sparkle_texture_sparkle_blazer_2025_1032.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_green_sparkle_texture_sparkle_blazer_2025_1033.webp,5,no,yes
sparkle-blazer,mens_navy_glitter_finish_sparkle_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_navy_glitter_finish_sparkle_blazer_2025_1038.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_navy_glitter_finish_sparkle_blazer_2025_1038.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_navy_glitter_finish_sparkle_blazer_2025_1039.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_navy_glitter_finish_sparkle_blazer_2025_1040.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_navy_glitter_finish_sparkle_blazer_2025_1041.webp,4,no,yes
sparkle-blazer,mens_navy_sparkle_texture_sparkle_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_navy_sparkle_texture_sparkle_blazer_2025_1035.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_navy_sparkle_texture_sparkle_blazer_2025_1035.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_navy_sparkle_texture_sparkle_blazer_2025_1036.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_navy_sparkle_texture_sparkle_blazer_2025_1044.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_navy_sparkle_texture_sparkle_blazer_2025_1051.webp,4,no,yes
sparkle-blazer,mens_red_glitter_finish_sparkle_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_red_glitter_finish_sparkle_blazer_2025_1042.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_red_glitter_finish_sparkle_blazer_2025_1042.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_red_glitter_finish_sparkle_blazer_2025_1043.webp,2,no,yes
sparkle-blazer,mens_royal-blue_sparkle_texture_sparkle_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_royal-blue_sparkle_texture_sparkle_blazer_2025_1045.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_royal-blue_sparkle_texture_sparkle_blazer_2025_1045.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_royal-blue_sparkle_texture_sparkle_blazer_2025_1046.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_royal-blue_sparkle_texture_sparkle_blazer_2025_1047.webp,3,no,yes
